date;time;F__100122_cut.csv__Column_1_47
16.06.2011;00:15;49,91745
16.06.2011;00:30;50,05459
16.06.2011;00:45;49,6363
16.06.2011;01:00;49,76501
16.06.2011;01:15;49,74288
16.06.2011;01:30;49,25709
16.06.2011;01:45;49,43863
16.06.2011;02:00;49,59904
16.06.2011;02:15;49,44665
16.06.2011;02:30;49,38212
16.06.2011;02:45;49,37556
16.06.2011;03:00;49,37914
16.06.2011;03:15;49,31702
16.06.2011;03:30;49,39525
16.06.2011;03:45;49,53927
16.06.2011;04:00;49,44102
16.06.2011;04:15;49,22311
16.06.2011;04:30;49,43894
16.06.2011;04:45;49,60436
16.06.2011;05:00;49,15854
16.06.2011;05:15;48,69779
16.06.2011;05:30;49,72315
16.06.2011;05:45;51,18678
16.06.2011;06:00;53,11327
16.06.2011;06:15;54,38989
16.06.2011;06:30;57,74271
16.06.2011;06:45;61,88266
16.06.2011;07:00;63,01588
16.06.2011;07:15;67,44242
16.06.2011;07:30;69,26519
16.06.2011;07:45;72,87431
16.06.2011;08:00;73,64584
16.06.2011;08:15;76,30108
16.06.2011;08:30;77,74296
16.06.2011;08:45;77,47766
16.06.2011;09:00;77,61876
16.06.2011;09:15;77,98977
16.06.2011;09:30;78,18071
16.06.2011;09:45;77,9265
16.06.2011;10:00;77,36585
16.06.2011;10:15;77,30624
16.06.2011;10:30;76,75647
16.06.2011;10:45;76,87186
16.06.2011;11:00;76,77987
16.06.2011;11:15;78,00639
16.06.2011;11:30;78,27015
16.06.2011;11:45;78,34969
16.06.2011;12:00;77,71509
16.06.2011;12:15;80,05839
16.06.2011;12:30;79,14199
16.06.2011;12:45;80,16712
16.06.2011;13:00;80,22387
16.06.2011;13:15;79,90104
16.06.2011;13:30;78,8089
16.06.2011;13:45;80,58025
16.06.2011;14:00;81,10455
16.06.2011;14:15;81,12093
16.06.2011;14:30;80,56728
16.06.2011;14:45;79,96763
16.06.2011;15:00;81,45046
16.06.2011;15:15;80,2601
16.06.2011;15:30;80,39054
16.06.2011;15:45;80,28344
