date;time;F__100500_cut.csv__Column_1_52
01.12.2017;00:15;19,55285
01.12.2017;00:30;19,53986
01.12.2017;00:45;19,55135
01.12.2017;01:00;19,49837
01.12.2017;01:15;19,50644
01.12.2017;01:30;19,56382
01.12.2017;01:45;19,45214
01.12.2017;02:00;19,45426
01.12.2017;02:15;19,48468
01.12.2017;02:30;19,42965
01.12.2017;02:45;19,34598
01.12.2017;03:00;19,34098
01.12.2017;03:15;19,42454
01.12.2017;03:30;19,38618
01.12.2017;03:45;19,38403
01.12.2017;04:00;19,34961
01.12.2017;04:15;19,31296
01.12.2017;04:30;20,12089
01.12.2017;04:45;20,38385
01.12.2017;05:00;22,30871
01.12.2017;05:15;23,86939
01.12.2017;05:30;24,9944
01.12.2017;05:45;25,06247
01.12.2017;06:00;26,16518
01.12.2017;06:15;27,61384
01.12.2017;06:30;29,49487
01.12.2017;06:45;34,08617
01.12.2017;07:00;44,36442
01.12.2017;07:15;66,09787
01.12.2017;07:30;68,2326
01.12.2017;07:45;69,18106
01.12.2017;08:00;73,77634
01.12.2017;08:15;74,27843
01.12.2017;08:30;77,69513
01.12.2017;08:45;79,65379
01.12.2017;09:00;80,57252
01.12.2017;09:15;80,28995
01.12.2017;09:30;80,58165
01.12.2017;09:45;80,74989
01.12.2017;10:00;81,31422
01.12.2017;10:15;82,32665
01.12.2017;10:30;83,8072
01.12.2017;10:45;84,20863
01.12.2017;11:00;83,48781
01.12.2017;11:15;81,16964
01.12.2017;11:30;81,12706
01.12.2017;11:45;78,73917
01.12.2017;12:00;78,22116
01.12.2017;12:15;76,34381
01.12.2017;12:30;76,84749
01.12.2017;12:45;76,1488
01.12.2017;13:00;74,21975
01.12.2017;13:15;73,20236
01.12.2017;13:30;69,8008
01.12.2017;13:45;70,60886
01.12.2017;14:00;69,10292
01.12.2017;14:15;68,95773
01.12.2017;14:30;68,38405
01.12.2017;14:45;67,59822
01.12.2017;15:00;65,25307
01.12.2017;15:15;63,77883
01.12.2017;15:30;58,32692
01.12.2017;15:45;49,94426
01.12.2017;16:00;50,15784
01.12.2017;16:15;40,65457
01.12.2017;16:30;38,31114
01.12.2017;16:45;37,70496
01.12.2017;17:00;37,117
01.12.2017;17:15;34,83405
01.12.2017;17:30;31,46503
01.12.2017;17:45;28,9971
01.12.2017;18:00;27,07669
01.12.2017;18:15;26,58511
01.12.2017;18:30;24,82702
01.12.2017;18:45;23,15832
01.12.2017;19:00;21,71166
01.12.2017;19:15;20,17688
01.12.2017;19:30;20,22949
01.12.2017;19:45;20,23099
01.12.2017;20:00;20,06398
01.12.2017;20:15;20,08428
01.12.2017;20:30;19,888
01.12.2017;20:45;19,99327
01.12.2017;21:00;20,05582
01.12.2017;21:15;20,15687
01.12.2017;21:30;20,27808
01.12.2017;21:45;20,59948
01.12.2017;22:00;20,24134
01.12.2017;22:15;20,43267
01.12.2017;22:30;20,19827
01.12.2017;22:45;20,40311
01.12.2017;23:00;20,3747
01.12.2017;23:15;20,35744
01.12.2017;23:30;20,58278
01.12.2017;23:45;20,29725
02.12.2017;00:00;20,17187
02.12.2017;00:15;20,23207
02.12.2017;00:30;20,32406
02.12.2017;00:45;20,19442
02.12.2017;01:00;20,07488
02.12.2017;01:15;20,12629
02.12.2017;01:30;20,19753
02.12.2017;01:45;20,53206
02.12.2017;02:00;20,28541
02.12.2017;02:15;20,25908
02.12.2017;02:30;19,93443
02.12.2017;02:45;19,83381
02.12.2017;03:00;20,01767
02.12.2017;03:15;20,14236
02.12.2017;03:30;20,17138
02.12.2017;03:45;19,94784
02.12.2017;04:00;20,01098
02.12.2017;04:15;20,20039
02.12.2017;04:30;20,38276
02.12.2017;04:45;20,37536
02.12.2017;05:00;20,95701
02.12.2017;05:15;21,57443
02.12.2017;05:30;20,75821
02.12.2017;05:45;20,51145
02.12.2017;06:00;19,82047
02.12.2017;06:15;21,49181
02.12.2017;06:30;21,24728
02.12.2017;06:45;21,13253
02.12.2017;07:00;21,36177
02.12.2017;07:15;19,79681
02.12.2017;07:30;20,6004
02.12.2017;07:45;21,60461
02.12.2017;08:00;22,64373
02.12.2017;08:15;22,60321
02.12.2017;08:30;17,90613
02.12.2017;08:45;16,25576
02.12.2017;09:00;16,29693
02.12.2017;09:15;15,38981
02.12.2017;09:30;15,89476
02.12.2017;09:45;15,43571
02.12.2017;10:00;15,1211
02.12.2017;10:15;15,90315
02.12.2017;10:30;15,71119
02.12.2017;10:45;15,59637
02.12.2017;11:00;15,24554
02.12.2017;11:15;15,1485
02.12.2017;11:30;15,6674
02.12.2017;11:45;15,39158
02.12.2017;12:00;15,85569
02.12.2017;12:15;15,46932
02.12.2017;12:30;15,90474
02.12.2017;12:45;16,41068
02.12.2017;13:00;16,72848
02.12.2017;13:15;16,5021
02.12.2017;13:30;15,63132
02.12.2017;13:45;15,60551
02.12.2017;14:00;15,81997
02.12.2017;14:15;16,02036
02.12.2017;14:30;14,89985
02.12.2017;14:45;15,39337
02.12.2017;15:00;14,95874
02.12.2017;15:15;16,50213
02.12.2017;15:30;16,14371
02.12.2017;15:45;17,51683
02.12.2017;16:00;15,65548
02.12.2017;16:15;15,01709
02.12.2017;16:30;16,3147
02.12.2017;16:45;16,78504
02.12.2017;17:00;19,48875
02.12.2017;17:15;19,7153
02.12.2017;17:30;20,15716
02.12.2017;17:45;20,90878
02.12.2017;18:00;20,17814
02.12.2017;18:15;19,93175
02.12.2017;18:30;19,20122
02.12.2017;18:45;19,07502
02.12.2017;19:00;19,04015
02.12.2017;19:15;19,26297
02.12.2017;19:30;19,19755
02.12.2017;19:45;18,97216
02.12.2017;20:00;19,17744
02.12.2017;20:15;19,88001
02.12.2017;20:30;19,77495
02.12.2017;20:45;19,80174
02.12.2017;21:00;19,72571
02.12.2017;21:15;19,7094
02.12.2017;21:30;20,3474
02.12.2017;21:45;20,60417
02.12.2017;22:00;20,49101
02.12.2017;22:15;20,22134
02.12.2017;22:30;19,97192
02.12.2017;22:45;20,28184
02.12.2017;23:00;20,19008
02.12.2017;23:15;20,02659
02.12.2017;23:30;20,04326
02.12.2017;23:45;19,98258
03.12.2017;00:00;20,25405
03.12.2017;00:15;20,16981
03.12.2017;00:30;20,07903
03.12.2017;00:45;19,90254
03.12.2017;01:00;19,96558
03.12.2017;01:15;20,0732
03.12.2017;01:30;20,3444
03.12.2017;01:45;20,19926
03.12.2017;02:00;19,97953
03.12.2017;02:15;20,1329
03.12.2017;02:30;19,93308
03.12.2017;02:45;20,1459
03.12.2017;03:00;20,14954
03.12.2017;03:15;20,12367
03.12.2017;03:30;20,0096
03.12.2017;03:45;20,11352
03.12.2017;04:00;20,08876
03.12.2017;04:15;19,85225
03.12.2017;04:30;19,96344
03.12.2017;04:45;20,63742
03.12.2017;05:00;20,65477
03.12.2017;05:15;20,4162
03.12.2017;05:30;19,76567
03.12.2017;05:45;20,81322
03.12.2017;06:00;20,66701
03.12.2017;06:15;20,83514
03.12.2017;06:30;20,5864
03.12.2017;06:45;20,67146
03.12.2017;07:00;20,31147
03.12.2017;07:15;20,76929
03.12.2017;07:30;20,48308
03.12.2017;07:45;20,4375
03.12.2017;08:00;21,04759
03.12.2017;08:15;19,50441
03.12.2017;08:30;17,86442
03.12.2017;08:45;16,16134
03.12.2017;09:00;15,63159
03.12.2017;09:15;14,76492
03.12.2017;09:30;16,75913
03.12.2017;09:45;16,1579
03.12.2017;10:00;15,01865
03.12.2017;10:15;14,95531
03.12.2017;10:30;14,19775
03.12.2017;10:45;15,45129
03.12.2017;11:00;15,49786
03.12.2017;11:15;15,37289
03.12.2017;11:30;15,69373
03.12.2017;11:45;14,96903
03.12.2017;12:00;15,35665
03.12.2017;12:15;15,81981
03.12.2017;12:30;18,15052
03.12.2017;12:45;15,64231
03.12.2017;13:00;15,49219
03.12.2017;13:15;15,85161
03.12.2017;13:30;16,77106
03.12.2017;13:45;16,69436
03.12.2017;14:00;16,47111
03.12.2017;14:15;15,13642
03.12.2017;14:30;14,71193
03.12.2017;14:45;14,78206
03.12.2017;15:00;14,4999
03.12.2017;15:15;15,63616
03.12.2017;15:30;13,66902
03.12.2017;15:45;16,94174
03.12.2017;16:00;16,0463
03.12.2017;16:15;14,80252
03.12.2017;16:30;14,76087
03.12.2017;16:45;16,34029
03.12.2017;17:00;18,19742
03.12.2017;17:15;18,82696
03.12.2017;17:30;19,83223
03.12.2017;17:45;19,98895
03.12.2017;18:00;19,80422
03.12.2017;18:15;19,70829
03.12.2017;18:30;19,25238
03.12.2017;18:45;19,08333
03.12.2017;19:00;18,86724
03.12.2017;19:15;18,98066
03.12.2017;19:30;18,9401
03.12.2017;19:45;19,0984
03.12.2017;20:00;19,49795
03.12.2017;20:15;18,57308
03.12.2017;20:30;18,78103
03.12.2017;20:45;19,05844
03.12.2017;21:00;19,41851
03.12.2017;21:15;19,61421
03.12.2017;21:30;19,64902
03.12.2017;21:45;19,90985
03.12.2017;22:00;19,8177
03.12.2017;22:15;19,92018
03.12.2017;22:30;19,79465
03.12.2017;22:45;19,72269
03.12.2017;23:00;19,6467
03.12.2017;23:15;20,0658
03.12.2017;23:30;20,16621
03.12.2017;23:45;20,19489
04.12.2017;00:00;20,21511
04.12.2017;00:15;20,21811
04.12.2017;00:30;20,26649
04.12.2017;00:45;20,22281
04.12.2017;01:00;20,24388
04.12.2017;01:15;20,2506
04.12.2017;01:30;20,28495
04.12.2017;01:45;20,27311
04.12.2017;02:00;20,21082
04.12.2017;02:15;20,56418
04.12.2017;02:30;20,19832
04.12.2017;02:45;20,00709
04.12.2017;03:00;20,00494
04.12.2017;03:15;20,20929
04.12.2017;03:30;20,25382
04.12.2017;03:45;20,12217
04.12.2017;04:00;20,07536
04.12.2017;04:15;20,18661
04.12.2017;04:30;20,88058
04.12.2017;04:45;22,03824
04.12.2017;05:00;23,66014
04.12.2017;05:15;25,2596
04.12.2017;05:30;25,97912
04.12.2017;05:45;25,49109
04.12.2017;06:00;26,54121
04.12.2017;06:15;28,61653
04.12.2017;06:30;30,49683
04.12.2017;06:45;34,68378
04.12.2017;07:00;45,41055
04.12.2017;07:15;64,20071
04.12.2017;07:30;64,83768
04.12.2017;07:45;67,69381
04.12.2017;08:00;71,33393
04.12.2017;08:15;73,85584
04.12.2017;08:30;78,32782
04.12.2017;08:45;79,46373
04.12.2017;09:00;80,60099
04.12.2017;09:15;79,7285
04.12.2017;09:30;80,16812
04.12.2017;09:45;80,38196
04.12.2017;10:00;80,09618
04.12.2017;10:15;81,60913
04.12.2017;10:30;83,72649
04.12.2017;10:45;84,28246
04.12.2017;11:00;83,08407
04.12.2017;11:15;81,15584
04.12.2017;11:30;80,61574
04.12.2017;11:45;78,64199
04.12.2017;12:00;77,50814
04.12.2017;12:15;75,57919
04.12.2017;12:30;75,42555
04.12.2017;12:45;75,65733
04.12.2017;13:00;73,2255
04.12.2017;13:15;72,78049
04.12.2017;13:30;69,71403
04.12.2017;13:45;69,79636
04.12.2017;14:00;68,64828
04.12.2017;14:15;68,69185
04.12.2017;14:30;67,27477
04.12.2017;14:45;66,52391
04.12.2017;15:00;63,87354
04.12.2017;15:15;62,43637
04.12.2017;15:30;57,36145
04.12.2017;15:45;50,80182
04.12.2017;16:00;50,43854
04.12.2017;16:15;39,28319
04.12.2017;16:30;38,44586
04.12.2017;16:45;37,25121
04.12.2017;17:00;36,50231
04.12.2017;17:15;34,43752
04.12.2017;17:30;31,78108
04.12.2017;17:45;28,69883
04.12.2017;18:00;26,64724
04.12.2017;18:15;25,94075
04.12.2017;18:30;24,37679
04.12.2017;18:45;23,14899
04.12.2017;19:00;21,83806
04.12.2017;19:15;20,43483
04.12.2017;19:30;20,03423
04.12.2017;19:45;20,01569
04.12.2017;20:00;20,3261
04.12.2017;20:15;19,90877
04.12.2017;20:30;19,72187
04.12.2017;20:45;20,13029
04.12.2017;21:00;20,1705
04.12.2017;21:15;20,34581
04.12.2017;21:30;20,50746
04.12.2017;21:45;20,34893
04.12.2017;22:00;20,48959
04.12.2017;22:15;20,47484
04.12.2017;22:30;20,04437
04.12.2017;22:45;20,1396
04.12.2017;23:00;20,1645
04.12.2017;23:15;20,36581
04.12.2017;23:30;20,47973
04.12.2017;23:45;20,27686
05.12.2017;00:00;20,22086
05.12.2017;00:15;20,39311
05.12.2017;00:30;20,41478
05.12.2017;00:45;20,38932
05.12.2017;01:00;20,27532
05.12.2017;01:15;20,26116
05.12.2017;01:30;20,29529
05.12.2017;01:45;20,27311
05.12.2017;02:00;20,21082
05.12.2017;02:15;20,56418
05.12.2017;02:30;20,19832
05.12.2017;02:45;20,00709
05.12.2017;03:00;20,00494
05.12.2017;03:15;20,20929
05.12.2017;03:30;20,25382
05.12.2017;03:45;20,12217
05.12.2017;04:00;20,07536
05.12.2017;04:15;20,18661
05.12.2017;04:30;20,88058
05.12.2017;04:45;22,03824
05.12.2017;05:00;23,66014
05.12.2017;05:15;25,2596
05.12.2017;05:30;25,97912
05.12.2017;05:45;25,49109
05.12.2017;06:00;26,54121
05.12.2017;06:15;28,61653
05.12.2017;06:30;30,49683
05.12.2017;06:45;34,68378
05.12.2017;07:00;45,41055
05.12.2017;07:15;64,20071
05.12.2017;07:30;64,83768
05.12.2017;07:45;67,69381
05.12.2017;08:00;71,33393
05.12.2017;08:15;73,85584
05.12.2017;08:30;78,32782
05.12.2017;08:45;79,46373
05.12.2017;09:00;80,60099
05.12.2017;09:15;79,7285
05.12.2017;09:30;80,16812
05.12.2017;09:45;80,38196
05.12.2017;10:00;80,09618
05.12.2017;10:15;81,60913
05.12.2017;10:30;83,72649
05.12.2017;10:45;84,28246
05.12.2017;11:00;83,08407
05.12.2017;11:15;81,15584
05.12.2017;11:30;80,61574
05.12.2017;11:45;78,64199
05.12.2017;12:00;77,50814
05.12.2017;12:15;75,57919
05.12.2017;12:30;75,42555
05.12.2017;12:45;75,65733
05.12.2017;13:00;73,2255
05.12.2017;13:15;72,78049
05.12.2017;13:30;69,71403
05.12.2017;13:45;69,79636
05.12.2017;14:00;68,64828
05.12.2017;14:15;68,69185
05.12.2017;14:30;67,27477
05.12.2017;14:45;66,52391
05.12.2017;15:00;63,87354
05.12.2017;15:15;62,43637
05.12.2017;15:30;57,36145
05.12.2017;15:45;50,80182
05.12.2017;16:00;50,43854
05.12.2017;16:15;39,28319
05.12.2017;16:30;38,44586
05.12.2017;16:45;37,25121
05.12.2017;17:00;36,50231
05.12.2017;17:15;34,43752
05.12.2017;17:30;31,78108
05.12.2017;17:45;28,69883
05.12.2017;18:00;26,64724
05.12.2017;18:15;25,94075
05.12.2017;18:30;24,37679
05.12.2017;18:45;23,14899
05.12.2017;19:00;21,83806
05.12.2017;19:15;20,43483
05.12.2017;19:30;20,03423
05.12.2017;19:45;20,01569
05.12.2017;20:00;20,3261
05.12.2017;20:15;19,90877
05.12.2017;20:30;19,72187
05.12.2017;20:45;20,13029
05.12.2017;21:00;20,1705
05.12.2017;21:15;20,34581
05.12.2017;21:30;20,50746
05.12.2017;21:45;20,34893
05.12.2017;22:00;20,48959
05.12.2017;22:15;20,47484
05.12.2017;22:30;20,04437
05.12.2017;22:45;20,1396
05.12.2017;23:00;20,1645
05.12.2017;23:15;20,36581
05.12.2017;23:30;20,47973
05.12.2017;23:45;20,27686
06.12.2017;00:00;20,22086
06.12.2017;00:15;20,39311
06.12.2017;00:30;20,41478
06.12.2017;00:45;20,38932
06.12.2017;01:00;20,27532
06.12.2017;01:15;20,26116
06.12.2017;01:30;20,29529
06.12.2017;01:45;20,27311
06.12.2017;02:00;20,21082
06.12.2017;02:15;20,56418
06.12.2017;02:30;20,19832
06.12.2017;02:45;20,00709
06.12.2017;03:00;20,00494
06.12.2017;03:15;20,20929
06.12.2017;03:30;20,25382
06.12.2017;03:45;20,12217
06.12.2017;04:00;20,07536
06.12.2017;04:15;20,18661
06.12.2017;04:30;20,88058
06.12.2017;04:45;22,03824
06.12.2017;05:00;23,66014
06.12.2017;05:15;25,2596
06.12.2017;05:30;25,97912
06.12.2017;05:45;25,49109
06.12.2017;06:00;26,54121
06.12.2017;06:15;28,61653
06.12.2017;06:30;30,49683
06.12.2017;06:45;34,68378
06.12.2017;07:00;45,41055
06.12.2017;07:15;64,20071
06.12.2017;07:30;64,83768
06.12.2017;07:45;67,69381
06.12.2017;08:00;71,33393
06.12.2017;08:15;73,85584
06.12.2017;08:30;78,32782
06.12.2017;08:45;79,46373
06.12.2017;09:00;80,60099
06.12.2017;09:15;79,7285
06.12.2017;09:30;80,16812
06.12.2017;09:45;80,38196
06.12.2017;10:00;80,09618
06.12.2017;10:15;81,60913
06.12.2017;10:30;83,72649
06.12.2017;10:45;84,28246
06.12.2017;11:00;83,08407
06.12.2017;11:15;81,15584
06.12.2017;11:30;80,61574
06.12.2017;11:45;78,64199
06.12.2017;12:00;77,50814
06.12.2017;12:15;75,57919
06.12.2017;12:30;75,42555
06.12.2017;12:45;75,65733
06.12.2017;13:00;73,2255
06.12.2017;13:15;72,78049
06.12.2017;13:30;69,71403
06.12.2017;13:45;69,79636
06.12.2017;14:00;68,64828
06.12.2017;14:15;68,69185
06.12.2017;14:30;67,27477
06.12.2017;14:45;66,52391
06.12.2017;15:00;63,87354
06.12.2017;15:15;62,43637
06.12.2017;15:30;57,36145
06.12.2017;15:45;50,80182
06.12.2017;16:00;50,43854
06.12.2017;16:15;39,28319
06.12.2017;16:30;38,44586
06.12.2017;16:45;37,25121
06.12.2017;17:00;36,50231
06.12.2017;17:15;34,43752
06.12.2017;17:30;31,78108
06.12.2017;17:45;28,69883
06.12.2017;18:00;26,64724
06.12.2017;18:15;25,94075
06.12.2017;18:30;24,37679
06.12.2017;18:45;23,14899
06.12.2017;19:00;21,83806
06.12.2017;19:15;20,43483
06.12.2017;19:30;20,03423
06.12.2017;19:45;20,01569
06.12.2017;20:00;20,3261
06.12.2017;20:15;19,90877
06.12.2017;20:30;19,72187
06.12.2017;20:45;20,13029
06.12.2017;21:00;20,1705
06.12.2017;21:15;20,34581
06.12.2017;21:30;20,50746
06.12.2017;21:45;20,34893
06.12.2017;22:00;20,48959
06.12.2017;22:15;20,47484
06.12.2017;22:30;20,04437
06.12.2017;22:45;20,1396
06.12.2017;23:00;20,1645
06.12.2017;23:15;20,36581
06.12.2017;23:30;20,47973
06.12.2017;23:45;20,27686
07.12.2017;00:00;20,22086
07.12.2017;00:15;20,39311
07.12.2017;00:30;20,41478
07.12.2017;00:45;20,38932
07.12.2017;01:00;20,27532
07.12.2017;01:15;20,26116
07.12.2017;01:30;20,29529
07.12.2017;01:45;20,27311
07.12.2017;02:00;20,21082
07.12.2017;02:15;20,56418
07.12.2017;02:30;20,19832
07.12.2017;02:45;20,00709
07.12.2017;03:00;20,00494
07.12.2017;03:15;20,20929
07.12.2017;03:30;20,25382
07.12.2017;03:45;20,12217
07.12.2017;04:00;20,07536
07.12.2017;04:15;20,18661
07.12.2017;04:30;20,88058
07.12.2017;04:45;22,03824
07.12.2017;05:00;23,66014
07.12.2017;05:15;25,2596
07.12.2017;05:30;25,97912
07.12.2017;05:45;25,49109
07.12.2017;06:00;26,54121
07.12.2017;06:15;28,61653
07.12.2017;06:30;30,49683
07.12.2017;06:45;34,68378
07.12.2017;07:00;45,41055
07.12.2017;07:15;64,20071
07.12.2017;07:30;64,83768
07.12.2017;07:45;67,69381
07.12.2017;08:00;71,33393
07.12.2017;08:15;73,85584
07.12.2017;08:30;78,32782
07.12.2017;08:45;79,46373
07.12.2017;09:00;80,60099
07.12.2017;09:15;79,7285
07.12.2017;09:30;80,16812
07.12.2017;09:45;80,38196
07.12.2017;10:00;80,09618
07.12.2017;10:15;81,60913
07.12.2017;10:30;83,72649
07.12.2017;10:45;84,28246
07.12.2017;11:00;83,08407
07.12.2017;11:15;81,15584
07.12.2017;11:30;80,61574
07.12.2017;11:45;78,64199
07.12.2017;12:00;77,50814
07.12.2017;12:15;75,57919
07.12.2017;12:30;75,42555
07.12.2017;12:45;75,65733
07.12.2017;13:00;73,2255
07.12.2017;13:15;72,78049
07.12.2017;13:30;69,71403
07.12.2017;13:45;69,79636
07.12.2017;14:00;68,64828
07.12.2017;14:15;68,69185
07.12.2017;14:30;67,27477
07.12.2017;14:45;66,52391
07.12.2017;15:00;63,87354
07.12.2017;15:15;62,43637
07.12.2017;15:30;57,36145
07.12.2017;15:45;50,80182
07.12.2017;16:00;50,43854
07.12.2017;16:15;39,28319
07.12.2017;16:30;38,44586
07.12.2017;16:45;37,25121
07.12.2017;17:00;36,50231
07.12.2017;17:15;34,43752
07.12.2017;17:30;31,78108
07.12.2017;17:45;28,69883
07.12.2017;18:00;26,64724
07.12.2017;18:15;25,94075
07.12.2017;18:30;24,37679
07.12.2017;18:45;23,14899
07.12.2017;19:00;21,83806
07.12.2017;19:15;20,43483
07.12.2017;19:30;20,03423
07.12.2017;19:45;20,01569
07.12.2017;20:00;20,3261
07.12.2017;20:15;19,90877
07.12.2017;20:30;19,72187
07.12.2017;20:45;20,13029
07.12.2017;21:00;20,1705
07.12.2017;21:15;20,34581
07.12.2017;21:30;20,50746
07.12.2017;21:45;20,34893
07.12.2017;22:00;20,48959
07.12.2017;22:15;20,47484
07.12.2017;22:30;20,04437
07.12.2017;22:45;20,1396
07.12.2017;23:00;20,1645
07.12.2017;23:15;20,36581
07.12.2017;23:30;20,47973
07.12.2017;23:45;20,27686
08.12.2017;00:00;20,22086
08.12.2017;00:15;20,34127
08.12.2017;00:30;20,31076
08.12.2017;00:45;20,09628
