date;time;F__100093_cut.csv__Column_1_44
30.06.2011;11:15;217,69494
30.06.2011;11:30;223,25673
30.06.2011;11:45;222,24388
30.06.2011;12:00;222,36239
30.06.2011;12:15;220,12948
30.06.2011;12:30;220,93253
30.06.2011;12:45;220,53161
30.06.2011;13:00;223,76178
30.06.2011;13:15;217,15011
30.06.2011;13:30;227,47016
30.06.2011;13:45;215,61919
30.06.2011;14:00;224,7721
30.06.2011;14:15;226,33488
30.06.2011;14:30;224,6365
30.06.2011;14:45;221,82487
30.06.2011;15:00;224,00511
30.06.2011;15:15;222,92717
30.06.2011;15:30;219,19631
30.06.2011;15:45;218,71616
30.06.2011;16:00;212,73696
30.06.2011;16:15;206,1978
30.06.2011;16:30;204,43478
30.06.2011;16:45;199,80277
30.06.2011;17:00;198,59687
30.06.2011;17:15;197,18138
30.06.2011;17:30;198,72693
30.06.2011;17:45;195,40897
30.06.2011;18:00;193,74302
30.06.2011;18:15;194,12961
30.06.2011;18:30;190,06121
30.06.2011;18:45;191,49276
30.06.2011;19:00;187,6391
30.06.2011;19:15;188,6708
30.06.2011;19:30;187,85347
30.06.2011;19:45;186,56578
30.06.2011;20:00;187,93985
30.06.2011;20:15;186,84663
30.06.2011;20:30;185,67672
30.06.2011;20:45;185,73577
30.06.2011;21:00;184,71967
30.06.2011;21:15;185,28343
30.06.2011;21:30;184,63443
30.06.2011;21:45;183,7248
30.06.2011;22:00;182,90889
30.06.2011;22:15;180,2743
30.06.2011;22:30;170,71498
30.06.2011;22:45;172,2425
30.06.2011;23:00;169,96537
30.06.2011;23:15;174,19063
30.06.2011;23:30;179,69409
30.06.2011;23:45;180,29471
01.07.2011;00:00;177,41766
01.07.2011;00:15;180,77573
01.07.2011;00:30;180,85025
01.07.2011;00:45;180,94511
01.07.2011;01:00;181,32118
01.07.2011;01:15;183,62407
01.07.2011;01:30;180,46774
01.07.2011;01:45;183,65101
01.07.2011;02:00;180,32032
01.07.2011;02:15;181,52807
01.07.2011;02:30;179,73704
01.07.2011;02:45;181,6684
01.07.2011;03:00;179,1444
01.07.2011;03:15;181,37706
01.07.2011;03:30;181,74167
01.07.2011;03:45;180,40833
01.07.2011;04:00;180,16809
01.07.2011;04:15;184,81746
01.07.2011;04:30;180,27559
01.07.2011;04:45;185,55896
01.07.2011;05:00;181,01152
01.07.2011;05:15;184,73598
01.07.2011;05:30;183,46974
01.07.2011;05:45;185,71909
01.07.2011;06:00;183,95431
01.07.2011;06:15;190,21918
01.07.2011;06:30;188,51453
01.07.2011;06:45;191,37444
01.07.2011;07:00;191,96732
01.07.2011;07:15;194,40131
01.07.2011;07:30;198,14969
01.07.2011;07:45;201,11111
01.07.2011;08:00;197,19322
01.07.2011;08:15;198,9444
01.07.2011;08:30;202,44725
01.07.2011;08:45;209,47103
01.07.2011;09:00;197,51617
01.07.2011;09:15;206,28069
01.07.2011;09:30;210,10052
01.07.2011;09:45;223,82512
01.07.2011;10:00;222,17239
01.07.2011;10:15;219,9454
01.07.2011;10:30;214,14662
01.07.2011;10:45;215,18163
01.07.2011;11:00;214,99745
01.07.2011;11:15;215,67892
01.07.2011;11:30;212,2883
01.07.2011;11:45;212,6906
01.07.2011;12:00;212,63095
01.07.2011;12:15;213,01493
01.07.2011;12:30;212,84027
01.07.2011;12:45;215,26624
01.07.2011;13:00;214,21985
01.07.2011;13:15;212,4948
01.07.2011;13:30;210,82807
01.07.2011;13:45;207,49022
01.07.2011;14:00;200,54864
01.07.2011;14:15;207,05484
01.07.2011;14:30;204,72778
01.07.2011;14:45;210,47549
01.07.2011;15:00;210,42542
01.07.2011;15:15;203,73383
01.07.2011;15:30;199,35262
01.07.2011;15:45;199,77295
01.07.2011;16:00;198,13105
01.07.2011;16:15;196,51757
01.07.2011;16:30;195,95945
01.07.2011;16:45;193,2583
01.07.2011;17:00;196,44347
01.07.2011;17:15;196,51694
01.07.2011;17:30;195,87729
01.07.2011;17:45;193,08386
01.07.2011;18:00;192,75508
01.07.2011;18:15;190,61106
01.07.2011;18:30;189,87745
01.07.2011;18:45;187,60538
01.07.2011;19:00;184,00144
01.07.2011;19:15;185,74855
01.07.2011;19:30;185,88445
01.07.2011;19:45;184,50255
01.07.2011;20:00;188,14258
01.07.2011;20:15;182,48701
01.07.2011;20:30;182,34012
01.07.2011;20:45;181,68333
01.07.2011;21:00;183,10258
01.07.2011;21:15;182,56337
01.07.2011;21:30;182,86652
01.07.2011;21:45;173,9383
01.07.2011;22:00;170,40131
01.07.2011;22:15;169,34277
01.07.2011;22:30;171,66911
01.07.2011;22:45;179,15976
01.07.2011;23:00;182,90947
01.07.2011;23:15;179,05371
01.07.2011;23:30;178,49991
01.07.2011;23:45;179,48584
02.07.2011;00:00;178,55687
02.07.2011;00:15;181,86272
02.07.2011;00:30;182,02694
02.07.2011;00:45;180,52055
02.07.2011;01:00;181,88976
02.07.2011;01:15;180,46228
02.07.2011;01:30;181,77076
02.07.2011;01:45;179,53723
02.07.2011;02:00;180,23605
02.07.2011;02:15;178,83749
02.07.2011;02:30;179,75643
02.07.2011;02:45;180,26738
02.07.2011;03:00;179,3216
02.07.2011;03:15;180,87789
02.07.2011;03:30;180,19001
02.07.2011;03:45;179,62002
02.07.2011;04:00;181,28755
02.07.2011;04:15;180,54265
02.07.2011;04:30;180,3848
02.07.2011;04:45;181,05278
02.07.2011;05:00;181,39302
02.07.2011;05:15;179,89667
02.07.2011;05:30;180,85461
02.07.2011;05:45;181,8463
02.07.2011;06:00;180,38194
02.07.2011;06:15;184,66227
02.07.2011;06:30;185,26428
02.07.2011;06:45;183,28118
02.07.2011;07:00;185,71227
02.07.2011;07:15;184,39518
02.07.2011;07:30;186,18525
02.07.2011;07:45;185,9606
02.07.2011;08:00;180,90911
02.07.2011;08:15;178,52981
02.07.2011;08:30;176,38004
02.07.2011;08:45;182,48776
02.07.2011;09:00;183,82041
02.07.2011;09:15;176,26952
02.07.2011;09:30;180,36558
02.07.2011;09:45;182,57648
02.07.2011;10:00;185,10225
02.07.2011;10:15;182,27152
02.07.2011;10:30;182,00863
02.07.2011;10:45;183,46856
02.07.2011;11:00;183,1833
02.07.2011;11:15;185,03424
02.07.2011;11:30;181,64226
02.07.2011;11:45;183,19955
02.07.2011;12:00;183,80378
02.07.2011;12:15;184,34999
02.07.2011;12:30;184,92378
02.07.2011;12:45;185,21129
02.07.2011;13:00;185,60984
02.07.2011;13:15;186,85685
02.07.2011;13:30;186,9369
02.07.2011;13:45;186,65472
02.07.2011;14:00;184,56135
02.07.2011;14:15;183,98693
02.07.2011;14:30;189,54787
02.07.2011;14:45;178,00701
02.07.2011;15:00;186,55438
02.07.2011;15:15;184,91871
02.07.2011;15:30;185,87663
02.07.2011;15:45;185,26696
02.07.2011;16:00;179,40544
02.07.2011;16:15;183,30194
02.07.2011;16:30;180,73151
02.07.2011;16:45;180,65623
02.07.2011;17:00;181,5513
02.07.2011;17:15;181,26881
02.07.2011;17:30;181,72461
02.07.2011;17:45;181,98099
02.07.2011;18:00;181,85232
02.07.2011;18:15;181,34792
02.07.2011;18:30;181,20361
02.07.2011;18:45;179,93725
02.07.2011;19:00;178,09285
02.07.2011;19:15;178,89673
02.07.2011;19:30;178,6336
02.07.2011;19:45;179,24181
02.07.2011;20:00;180,57247
02.07.2011;20:15;181,6498
02.07.2011;20:30;180,61117
02.07.2011;20:45;182,6435
02.07.2011;21:00;183,67806
02.07.2011;21:15;184,50103
02.07.2011;21:30;185,06237
02.07.2011;21:45;185,52389
02.07.2011;22:00;182,7983
02.07.2011;22:15;172,65017
02.07.2011;22:30;172,42873
02.07.2011;22:45;170,55191
02.07.2011;23:00;176,54321
02.07.2011;23:15;179,26448
02.07.2011;23:30;180,08283
02.07.2011;23:45;179,06508
03.07.2011;00:00;178,85257
03.07.2011;00:15;181,07247
03.07.2011;00:30;182,56223
03.07.2011;00:45;180,30335
03.07.2011;01:00;180,62788
03.07.2011;01:15;179,18592
03.07.2011;01:30;178,55314
03.07.2011;01:45;179,00918
03.07.2011;02:00;181,66605
03.07.2011;02:15;180,36995
03.07.2011;02:30;183,04653
03.07.2011;02:45;180,78429
03.07.2011;03:00;178,7458
03.07.2011;03:15;179,85145
03.07.2011;03:30;178,88224
03.07.2011;03:45;179,18706
03.07.2011;04:00;179,89537
03.07.2011;04:15;181,77584
03.07.2011;04:30;179,83712
03.07.2011;04:45;180,18323
03.07.2011;05:00;178,90383
03.07.2011;05:15;178,06122
03.07.2011;05:30;179,02903
03.07.2011;05:45;178,57466
03.07.2011;06:00;178,7947
03.07.2011;06:15;182,80548
03.07.2011;06:30;184,1038
03.07.2011;06:45;182,5786
03.07.2011;07:00;184,18595
03.07.2011;07:15;184,24899
03.07.2011;07:30;185,2984
03.07.2011;07:45;186,82241
03.07.2011;08:00;176,50079
03.07.2011;08:15;177,34137
03.07.2011;08:30;179,94013
03.07.2011;08:45;183,57311
03.07.2011;09:00;176,78103
03.07.2011;09:15;179,30026
03.07.2011;09:30;182,466
03.07.2011;09:45;183,45674
03.07.2011;10:00;182,31715
03.07.2011;10:15;181,54097
03.07.2011;10:30;181,54383
03.07.2011;10:45;182,69526
03.07.2011;11:00;181,50371
03.07.2011;11:15;183,0733
03.07.2011;11:30;179,90556
03.07.2011;11:45;181,3525
03.07.2011;12:00;182,20246
03.07.2011;12:15;183,91424
03.07.2011;12:30;184,35701
03.07.2011;12:45;184,74593
03.07.2011;13:00;182,99482
03.07.2011;13:15;183,43804
03.07.2011;13:30;183,27756
03.07.2011;13:45;179,61258
03.07.2011;14:00;184,99749
03.07.2011;14:15;176,95269
03.07.2011;14:30;184,05466
03.07.2011;14:45;183,41059
03.07.2011;15:00;186,08996
03.07.2011;15:15;184,36485
03.07.2011;15:30;181,27854
03.07.2011;15:45;186,6479
03.07.2011;16:00;182,37114
03.07.2011;16:15;180,72104
03.07.2011;16:30;181,14255
03.07.2011;16:45;179,46903
03.07.2011;17:00;180,94168
03.07.2011;17:15;181,0209
03.07.2011;17:30;180,6982
03.07.2011;17:45;179,93421
03.07.2011;18:00;180,78206
03.07.2011;18:15;179,75546
03.07.2011;18:30;179,97574
03.07.2011;18:45;180,27578
03.07.2011;19:00;178,48381
03.07.2011;19:15;177,87568
03.07.2011;19:30;177,93092
03.07.2011;19:45;176,56628
03.07.2011;20:00;179,99662
03.07.2011;20:15;181,75902
03.07.2011;20:30;179,98386
03.07.2011;20:45;181,67682
03.07.2011;21:00;182,42292
03.07.2011;21:15;182,56737
03.07.2011;21:30;186,68313
03.07.2011;21:45;187,01528
03.07.2011;22:00;183,93454
03.07.2011;22:15;174,81052
03.07.2011;22:30;169,59894
03.07.2011;22:45;168,46335
03.07.2011;23:00;171,10535
03.07.2011;23:15;177,02703
03.07.2011;23:30;179,47992
03.07.2011;23:45;179,10506
04.07.2011;00:00;176,41069
04.07.2011;00:15;182,30002
04.07.2011;00:30;177,69033
04.07.2011;00:45;181,12038
04.07.2011;01:00;179,95464
04.07.2011;01:15;178,98583
04.07.2011;01:30;180,07359
04.07.2011;01:45;179,26801
04.07.2011;02:00;181,1033
04.07.2011;02:15;178,7874
04.07.2011;02:30;180,91417
04.07.2011;02:45;179,19243
04.07.2011;03:00;179,55926
04.07.2011;03:15;180,72339
04.07.2011;03:30;180,41077
04.07.2011;03:45;179,34048
04.07.2011;04:00;179,39249
04.07.2011;04:15;178,88779
04.07.2011;04:30;180,24785
04.07.2011;04:45;177,69237
04.07.2011;05:00;182,29963
04.07.2011;05:15;179,10873
04.07.2011;05:30;182,0432
04.07.2011;05:45;180,82475
04.07.2011;06:00;180,05216
04.07.2011;06:15;188,18424
04.07.2011;06:30;187,40093
04.07.2011;06:45;190,9476
04.07.2011;07:00;194,49855
04.07.2011;07:15;196,62249
04.07.2011;07:30;201,57266
04.07.2011;07:45;205,22465
04.07.2011;08:00;203,81178
04.07.2011;08:15;208,35451
04.07.2011;08:30;207,42945
04.07.2011;08:45;210,48076
